W,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,m%,price,%,txn,gf,120818
,L,Milivojevic,CRY,M,0.22,0.2,3.3,3.2,3.6,100,6.0,2.8,-183,0,
,W,Boly,WOL,D,0.28,0.28,3.3,3.3,1.2,94,4.6,4.8,-203,0,
,S,Coleman,EVE,D,0.29,0.29,3.5,3.5,3.2,69,5.2,1.6,-283,0,
,J,Hogg,HUD,M,0.07,0.11,2.3,2.5,3.0,69,4.4,0.5,-293,-1,
,A,Begovic,BOU,G,0.22,0.22,3.0,3.0,1.8,100,4.5,4.0,-300,0,
,C,Eriksen,TOT,M,0.16,0.28,3.5,4.6,4.6,60,9.3,6.0,-302,0,
,K,Schmeichel,LEI,G,0.28,0.3,3.4,3.5,4.0,100,5.0,5.0,-317,0,
,L,Dunk,BHA,D,0.29,0.31,3.3,3.4,3.6,89,4.5,5.0,-320,0,
,A,Adam Smith,BOU,D,0.25,0.3,3.1,3.3,0.2,67,4.4,0.5,-323,-1,
,P,Højbjerg,SOU,M,0.16,0.16,2.7,2.7,1.4,80,4.4,4.1,-360,0,
,V,Lindelöf,MUN,D,0.02,0.13,2.1,2.6,1.6,69,4.8,0.8,-376,-1,
,W,Ndidi,LEI,M,0.12,0.16,2.6,2.8,2.0,98,4.9,0.9,-386,-1,
,R,Sessegnon,FUL,M,0.13,0.2,2.8,3.2,3.2,86,6.0,2.5,-413,0,
,C,Cédric,SOU,D,0.2,0.25,2.9,3.1,2.6,91,4.4,4.8,-417,0,
,A,McCarthy,SOU,G,0.29,0.29,3.3,3.3,2.6,100,4.5,3.2,-438,0,
,R,Bennett,WOL,D,0.14,0.14,2.6,2.6,1.0,88,4.2,10.9,-444,0,
,C,Smalling,MUN,D,0.12,0.14,2.7,2.8,1.8,79,5.7,1.6,-445,0,
,G,Xhaka,ARS,M,0.17,0.21,2.9,3.1,2.0,89,5.3,3.0,-476,0,
,A,Knockaert,BHA,M,0.18,0.29,3.0,3.6,2.2,68,5.5,0.9,-495,-1,
,N,Etheridge,CAR,G,0.4,0.36,3.8,3.6,3.8,100,4.5,5.6,-505,0,
,A,Lennon,BUR,M,0.12,0.2,2.6,3.0,1.6,78,5.0,0.8,-512,-1,
,V,Camarasa,CAR,M,0.15,0.15,2.7,2.7,2.0,91,4.6,1.7,-549,-1,
,I,Gündogan,MCI,M,0.46,0.83,4.5,6.5,4.2,39,5.4,2.4,-565,0,
,G,Wijnaldum,LIV,M,0.22,0.25,3.2,3.4,2.4,88,5.5,1.3,-574,-1,
o,M,Keane,EVE,D,0.57,0.57,4.9,4.9,3.4,75,5.1,4.9,-606,0,
,R,Kenedy,NEW,M,0.16,0.22,2.8,3.1,2.0,70,4.9,1.5,-616,-1,
,L,Lucas Moura,TOT,M,0.36,0.41,4.5,4.9,3.0,80,7.0,10.1,-675,0,
,K,Walker,MCI,D,0.43,0.49,4.8,5.2,2.2,81,6.5,13.7,-679,0,
,R,Bertrand,SOU,D,0.17,0.17,2.8,2.8,0.2,75,4.8,2.8,-741,0,
,J,Seri,FUL,M,0.15,0.19,2.8,3.0,1.6,87,5.2,2.1,-753,-1,
,W,Hughes,WAT,M,0.1,0.18,2.5,2.9,1.2,79,5.0,1.0,-789,-1,
,F,Fernandinho,MCI,M,0.24,0.24,3.3,3.3,2.2,98,5.4,5.3,-841,0,
,A,Townsend,CRY,M,0.23,0.21,3.3,3.2,4.6,97,5.7,2.1,-852,-1,
,J,Moutinho,WOL,M,0.17,0.19,2.9,3.0,1.2,87,5.3,2.6,-875,-1,
