W,I,web_name        ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn   ,gf ,030620
 ,J,Seri            ,FUL ,M,4.9 ,81 ,0.08 ,0.14 ,2.4,2.7 ,0.8 ,1.4 ,-450  ,-1 ,      
 ,A,Iwobi           ,ARS ,M,5.4 ,60 ,0.17 ,0.3  ,2.9,3.6 ,4.3 ,1.8 ,-475  ,0  ,      
 ,W,Willian         ,CHE ,M,7.1 ,69 ,0.2  ,0.23 ,3.4,3.6 ,1.0 ,3.9 ,-506  ,0  ,      
 ,A,Pérez           ,NEW ,F,6.1 ,87 ,0.13 ,0.11 ,2.8,2.7 ,3.0 ,1.1 ,-619  ,-1 ,      
 ,B,Ecuele Manga    ,CAR ,D,4.4 ,102,0.09 ,0.11 ,2.4,2.5 ,1.0 ,0.4 ,-634  ,-3 ,      
 ,M,Ritchie         ,NEW ,M,5.8 ,85 ,0.12 ,0.16 ,2.7,2.9 ,2.0 ,0.6 ,-697  ,-2 ,      
 ,T,Walcott         ,EVE ,M,6.0 ,75 ,0.15 ,0.22 ,2.9,3.3 ,1.5 ,2.7 ,-813  ,0  ,      
 ,B,Leno            ,ARS ,G,4.8 ,80 ,0.21 ,0.21 ,3.0,3.0 ,3.8 ,2.4 ,-871  ,-1 ,      
 ,B,Mee             ,BUR ,D,4.6 ,104,0.04 ,0.04 ,2.2,2.2 ,1.0 ,1.7 ,-970  ,-1 ,      
 ,A,Doucouré        ,WAT ,M,5.9 ,89 ,0.25 ,0.24 ,3.5,3.4 ,3.0 ,1.3 ,-975  ,-1 ,      
 ,R,Babel           ,FUL ,M,5.5 ,22 ,0.29 ,0.36 ,3.6,4.0 ,4.0 ,0.3 ,-1013 ,-5 ,      
 ,J,Lascelles       ,NEW ,D,4.7 ,86 ,0.23 ,0.28 ,3.1,3.3 ,3.5 ,3.9 ,-1031 ,0  ,      
 ,A,Begovic         ,BOU ,G,4.3 ,79 ,0.19 ,0.19 ,2.8,2.8 ,0.0 ,3.0 ,-1066 ,-1 ,      
 ,N,Matic           ,MUN ,M,5.0 ,81 ,0.04 ,0.04 ,2.2,2.2 ,0.5 ,0.7 ,-1300 ,-3 ,      
 ,P,Zabaleta        ,WHU ,D,4.3 ,67 ,0.07 ,0.14 ,2.3,2.6 ,0.8 ,1.9 ,-1361 ,-1 ,      
 ,A,Young           ,MUN ,D,5.7 ,76 ,0.18 ,0.19 ,3.0,3.1 ,3.5 ,2.0 ,-1630 ,-1 ,      
 ,K,Kepa            ,CHE ,G,5.4 ,96 ,0.33 ,0.33 ,3.8,3.8 ,1.0 ,4.4 ,-1746 ,-1 ,      
 ,C,Paterson        ,CAR ,M,5.0 ,79 ,0.2  ,0.28 ,3.0,3.4 ,2.0 ,0.7 ,-1871 ,-4 ,      
 ,T,Alderweireld    ,TOT ,D,6.0 ,93 ,0.22 ,0.23 ,3.3,3.4 ,1.3 ,3.8 ,-1897 ,-1 ,      
 ,M,Zanka           ,HUD ,D,4.4 ,82 ,0.2  ,0.2  ,2.9,2.9 ,0.5 ,2.8 ,-1983 ,-1 ,      
