W,I,web_name       ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn    ,gf ,021922
 ,J,Jorginho       ,CHE ,M,4.7 ,92 ,0.11 ,0.11 ,2.5,2.5 ,2.0 ,5.7 ,-6805  ,-2 ,      
 ,S,March          ,BHA ,M,4.9 ,85 ,0.2  ,0.22 ,3.0,3.1 ,2.0 ,1.0 ,-7252  ,-12,      
o,A,Wan-Bissaka    ,CRY ,D,4.6 ,95 ,0.3  ,0.3  ,3.4,3.4 ,2.3 ,33.8,-7953  ,0  ,      
 ,J,Hart           ,BUR ,G,4.3 ,73 ,0.37 ,0.37 ,3.6,3.6 ,0.0 ,5.3 ,-8035  ,-2 ,      
 ,W,Willian        ,CHE ,M,7.2 ,69 ,0.22 ,0.22 ,3.6,3.6 ,2.3 ,4.0 ,-8086  ,-3 ,      
 ,N,Kanté          ,CHE ,M,5.0 ,99 ,0.3  ,0.3  ,3.5,3.5 ,4.3 ,18.8,-8125  ,-1 ,      
 ,T,Deeney         ,WAT ,F,5.9 ,81 ,0.2  ,0.25 ,3.2,3.5 ,1.7 ,4.6 ,-8460  ,-3 ,      
 ,J,Tomkins        ,CRY ,D,4.3 ,83 ,0.26 ,0.26 ,3.1,3.1 ,2.7 ,2.8 ,-8829  ,-5 ,      
 ,A,Mitrovic       ,FUL ,F,6.5 ,98 ,0.32 ,0.34 ,4.1,4.2 ,5.3 ,14.1,-9540  ,-1 ,      
m,G,Murray         ,BHA ,F,6.3 ,72 ,0.25 ,0.35 ,3.6,4.2 ,5.3 ,3.0 ,-10589 ,-6 ,      
 ,A,Rüdiger        ,CHE ,D,6.0 ,95 ,0.28 ,0.28 ,3.7,3.7 ,-0.3,3.6 ,-12092 ,-5 ,      
 ,H,Kane           ,TOT ,F,12.4,80 ,0.32 ,0.34 ,6.0,6.2 ,0.0 ,12.7,-12949 ,-2 ,      
 ,D,David Silva    ,MCI ,M,8.5 ,69 ,0.29 ,0.38 ,4.5,5.2 ,3.5 ,4.3 ,-13646 ,-5 ,      
 ,E,Ederson        ,MCI ,G,5.6 ,104,0.37 ,0.37 ,4.1,4.1 ,4.0 ,20.1,-13787 ,-1 ,      
o,M,Salah          ,LIV ,M,13.6,94 ,0.39 ,0.4  ,7.3,7.4 ,4.0 ,50.4,-14596 ,0  ,      
 ,C,Azpilicueta    ,CHE ,D,6.3 ,100,0.29 ,0.29 ,3.8,3.8 ,2.7 ,8.2 ,-14885 ,-3 ,      
 ,B,Bernardo Silva ,MCI ,M,7.5 ,89 ,0.29 ,0.35 ,4.2,4.6 ,2.3 ,6.8 ,-14978 ,-4 ,      
 ,K,Kepa           ,CHE ,G,5.6 ,100,0.32 ,0.32 ,3.8,3.8 ,2.3 ,5.0 ,-15480 ,-5 ,      
 ,A,Alisson        ,LIV ,G,6.0 ,100,0.42 ,0.42 ,4.5,4.5 ,3.3 ,24.3,-15771 ,-1 ,      
 ,K,Zouma          ,EVE ,D,5.0 ,77 ,0.14 ,0.2  ,2.7,3.0 ,1.3 ,0.8 ,-17375 ,-35,      
 ,G,Higuaín        ,CHE ,F,9.5 ,10 ,0.39 ,0.39 ,5.7,5.7 ,5.7 ,3.0 ,-18157 ,-10,      
 ,M,Keane          ,EVE ,D,4.9 ,92 ,0.31 ,0.31 ,3.5,3.5 ,3.0 ,4.0 ,-19415 ,-8 ,      
 ,J,Pickford       ,EVE ,G,4.9 ,104,0.33 ,0.33 ,3.6,3.6 ,3.0 ,12.9,-21146 ,-3 ,      
 ,R,Firmino        ,LIV ,F,9.3 ,87 ,0.29 ,0.29 ,4.7,4.7 ,3.0 ,19.4,-32934 ,-3 ,      
 ,L,Digne          ,EVE ,D,5.3 ,85 ,0.3  ,0.38 ,3.6,4.0 ,0.3 ,8.4 ,-33418 ,-6 ,      
 ,D,Brooks         ,BOU ,M,5.0 ,68 ,0.46 ,0.48 ,4.3,4.4 ,4.0 ,3.5 ,-34434 ,-16,      
o,M,Rashford       ,MUN ,F,7.8 ,65 ,0.35 ,0.45 ,4.7,5.5 ,3.0 ,41.0,-36310 ,-1 ,      
 ,G,Sigurdsson     ,EVE ,M,7.3 ,93 ,0.33 ,0.38 ,4.4,4.8 ,2.0 ,6.0 ,-48416 ,-13,      
 ,D,David Luiz     ,CHE ,D,5.9 ,96 ,0.46 ,0.46 ,4.7,4.7 ,4.0 ,12.5,-52088 ,-7 ,      
 ,R,Pereyra        ,WAT ,M,6.1 ,89 ,0.39 ,0.41 ,4.4,4.5 ,0.7 ,10.2,-53648 ,-8 ,      
 ,C,Wilson         ,BOU ,F,6.3 ,74 ,0.54 ,0.57 ,5.4,5.6 ,0.0 ,11.3,-72632 ,-10,      
 ,J,Holebas        ,WAT ,D,4.8 ,85 ,0.42 ,0.46 ,4.0,4.2 ,5.3 ,12.9,-73598 ,-9 ,      
 ,M,Alonso         ,CHE ,D,6.5 ,95 ,0.46 ,0.46 ,5.0,5.0 ,1.7 ,29.2,-109690,-6 ,      
 ,E,Hazard         ,CHE ,M,10.8,86 ,0.43 ,0.46 ,6.6,7.0 ,6.3 ,26.0,-122570,-8 ,      
o,P,Aubameyang     ,ARS ,F,11.1,85 ,0.36 ,0.3  ,6.0,5.3 ,4.7 ,25.8,-135488,-8 ,      
o,R,Richarlison    ,EVE ,M,6.6 ,84 ,0.39 ,0.45 ,4.6,5.0 ,3.3 ,22.1,-136030,-10,      
