O,I,web_name      ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,gf ,020214
 ,T,Ince          ,HUD ,M,0.11 ,0.13 ,2.6,2.7 ,1.3 ,1978,5.5  ,0.4 ,-414   ,-2 ,      
 ,W,Reid          ,WHU ,D,0.13 ,0.13 ,2.6,2.6 ,0.5 ,1426,4.8  ,0.6 ,-417   ,-1 ,      
 ,G,Wijnaldum     ,LIV ,M,0.08 ,0.12 ,2.5,2.8 ,1.7 ,1582,6.6  ,2.0 ,-485   ,0  ,      
 ,J,Schlupp       ,CRY ,D,0.02 ,0.02 ,2.1,2.1 ,0.0 ,1560,4.7  ,0.2 ,-490   ,-4 ,      
 ,A,Carrillo      ,WAT ,M,0.09 ,0.2  ,2.5,3.1 ,1.7 ,1424,5.5  ,0.1 ,-504   ,-9 ,      
 ,A,Knockaert     ,BHA ,M,0.15 ,0.22 ,2.8,3.2 ,0.7 ,1606,5.5  ,0.6 ,-521   ,-2 ,      
 ,I,Gündogan      ,MCI ,M,0.11 ,0.66 ,2.6,5.5 ,4.7 ,611 ,5.3  ,0.8 ,-590   ,-1 ,      
 ,O,Oriol Romeu   ,SOU ,M,0.0  ,0.02 ,2.0,2.1 ,1.0 ,1934,4.3  ,2.2 ,-602   ,0  ,      
 ,T,Cleverley     ,WAT ,M,0.1  ,0.14 ,2.5,2.7 ,1.3 ,1900,5.0  ,0.5 ,-638   ,-2 ,      
 ,T,Carroll       ,SWA ,M,0.09 ,0.16 ,2.4,2.7 ,1.3 ,1813,4.3  ,5.1 ,-653   ,0  ,      
 ,N,Redmond       ,SOU ,M,0.03 ,0.08 ,2.2,2.5 ,0.0 ,1369,5.9  ,1.6 ,-735   ,-1 ,      
 ,D,Yedlin        ,NEW ,D,0.02 ,0.07 ,2.1,2.3 ,1.3 ,1739,4.4  ,0.8 ,-742   ,-2 ,      
 ,S,Rondón        ,WBA ,F,0.03 ,0.07 ,2.2,2.4 ,1.7 ,1637,6.0  ,0.6 ,-754   ,-2 ,      
 ,C,Fuchs         ,LEI ,D,0.15 ,0.23 ,2.7,3.1 ,0.7 ,1384,4.8  ,2.0 ,-949   ,-1 ,      
 ,C,Cédric        ,SOU ,D,0.06 ,0.09 ,2.3,2.4 ,1.3 ,1624,4.7  ,2.5 ,-968   ,-1 ,      
 ,J,Butland       ,STK ,G,0.24 ,0.24 ,3.2,3.2 ,6.3 ,1980,5.0  ,2.3 ,-973   ,-1 ,      
 ,H,Lloris        ,TOT ,G,0.35 ,0.35 ,3.9,3.9 ,3.8 ,2070,5.4  ,8.0 ,-973   ,0  ,      
 ,A,Adam Smith    ,BOU ,D,0.0  ,0.02 ,2.0,2.1 ,1.3 ,1766,4.8  ,0.4 ,-983   ,-4 ,      
 ,C,Fàbregas      ,CHE ,M,0.12 ,0.21 ,2.8,3.4 ,0.5 ,1438,6.8  ,2.9 ,-1128  ,-1 ,      
 ,S,Defour        ,BUR ,M,0.11 ,0.11 ,2.6,2.6 ,0.7 ,1998,5.4  ,0.3 ,-1138  ,-7 ,      
 ,W,Zaha          ,CRY ,M,0.25 ,0.25 ,3.7,3.7 ,2.3 ,1696,6.9  ,5.1 ,-1280  ,0  ,      
 ,P,Jones         ,MUN ,D,0.53 ,0.56 ,5.0,5.2 ,4.3 ,1703,5.7  ,16.9,-1519  ,0  ,      
 ,J,Gudmundsson   ,BUR ,M,0.18 ,0.2  ,2.9,3.0 ,2.0 ,1860,5.0  ,0.8 ,-1527  ,-3 ,      
 ,J,Manquillo     ,NEW ,D,0.07 ,0.07 ,2.3,2.3 ,0.3 ,1685,4.4  ,0.9 ,-1537  ,-3 ,      
 ,L,Dunk          ,BHA ,D,0.11 ,0.11 ,2.5,2.5 ,1.0 ,2250,4.5  ,3.7 ,-1549  ,-1 ,      
x,A,Adrián        ,WHU ,G,0.32 ,0.32 ,3.4,3.4 ,2.5 ,990 ,4.4  ,3.7 ,-1702  ,-1 ,      
 ,R,Bertrand      ,SOU ,D,0.19 ,0.19 ,3.0,3.0 ,2.7 ,1975,5.3  ,4.6 ,-1707  ,-1 ,      
 ,K,Walker        ,MCI ,D,0.35 ,0.38 ,4.3,4.5 ,3.7 ,2023,6.6  ,12.6,-1709  ,0  ,      
 ,K,Gibbs         ,WBA ,D,0.16 ,0.18 ,2.8,2.9 ,2.7 ,1806,5.0  ,0.5 ,-1735  ,-6 ,      
 ,L,Koscielny     ,ARS ,D,0.38 ,0.4  ,4.3,4.4 ,2.8 ,1775,6.0  ,1.6 ,-1808  ,-2 ,      
 ,J,Mata          ,MUN ,M,0.28 ,0.38 ,3.9,4.6 ,2.3 ,1354,6.8  ,2.2 ,-1887  ,-1 ,      
 ,P,Zabaleta      ,WHU ,D,0.1  ,0.1  ,2.5,2.5 ,2.0 ,2119,4.9  ,2.3 ,-2002  ,-2 ,      
 ,S,Mignolet      ,LIV ,G,0.31 ,0.31 ,3.5,3.5 ,0.0 ,1710,4.8  ,1.3 ,-2205  ,-3 ,      
