O,I,web_name        ,team,T,VA/M ,pt,g ,p/g,min ,m/g,price,%   ,net_trans,1207 14
 ,F,Hadergjonaj     ,HUD ,D,-0.04,9 ,5 ,1.8,292 ,58 ,4.5  ,0.0 ,-30      ,       
 ,S,Aurier          ,TOT ,D,-0.05,10,6 ,1.7,456 ,76 ,5.9  ,0.3 ,-767     ,       
 ,E,Pieters         ,STK ,D,-0.06,25,15,1.7,1348,90 ,4.9  ,0.5 ,-711     ,       
 ,A,Mariappa        ,WAT ,D,-0.07,19,11,1.7,821 ,75 ,4.1  ,5.6 ,11443    ,       
 ,M,Keane           ,EVE ,D,-0.08,19,12,1.6,984 ,82 ,5.3  ,5.2 ,-2350    ,       
 ,P,Jagielka        ,EVE ,D,-0.1 ,15,10,1.5,892 ,89 ,4.8  ,2.8 ,-2977    ,       
 ,F,Lejeune         ,NEW ,D,-0.14,13,9 ,1.4,753 ,84 ,4.4  ,0.2 ,-147     ,       
 ,A,Masuaku         ,WHU ,D,-0.14,14,10,1.4,531 ,53 ,4.4  ,0.3 ,56       ,       
 ,T,Fosu-Mensah     ,CRY ,D,-0.16,12,9 ,1.3,701 ,78 ,4.4  ,0.9 ,-658     ,       
 ,K,Wimmer          ,STK ,D,-0.16,12,9 ,1.3,712 ,79 ,4.3  ,0.4 ,-1007    ,       
 ,A,Ogbonna         ,WHU ,D,-0.16,13,10,1.3,900 ,90 ,4.3  ,0.7 ,987      ,       
 ,S,Dann            ,CRY ,D,-0.17,13,11,1.2,990 ,90 ,4.7  ,0.5 ,-1426    ,       
 ,P,van Aanholt     ,CRY ,D,-0.22,7 ,8 ,0.9,588 ,74 ,5.1  ,0.9 ,-414     ,       
 ,B,Martins Indi    ,STK ,D,-0.29,5 ,8 ,0.6,488 ,61 ,4.9  ,0.0 ,-68      ,       
