O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,011921
 ,D,Lovren          ,LIV ,D,0.26 ,0.36 ,3.4,3.9 ,2.2 ,1385,5.3  ,1.3 ,-1799  ,      
 ,N,Aké             ,BOU ,D,0.14 ,0.14 ,2.7,2.7 ,2.8 ,2002,4.9  ,4.0 ,-2044  ,      
 ,C,Azpilicueta     ,CHE ,D,0.5  ,0.5  ,5.5,5.5 ,6.4 ,1980,7.0  ,23.0,-2051  ,      
 ,N,Redmond         ,SOU ,M,0.03 ,0.08 ,2.2,2.5 ,1.0 ,1369,5.9  ,1.7 ,-2149  ,      
 ,J,Gudmundsson     ,BUR ,M,0.2  ,0.24 ,3.0,3.2 ,3.2 ,1688,5.0  ,0.6 ,-2264  ,      
 ,D,Stephens        ,BHA ,M,0.09 ,0.09 ,2.4,2.4 ,2.2 ,2070,4.5  ,1.3 ,-2304  ,      
 ,O,Oriol Romeu     ,SOU ,M,0.02 ,0.05 ,2.1,2.2 ,1.6 ,1799,4.3  ,2.2 ,-2413  ,      
 ,A,Moreno          ,LIV ,D,0.39 ,0.39 ,3.7,3.7 ,0.0 ,1080,4.4  ,1.3 ,-2464  ,      
 ,F,Fernández       ,SWA ,D,0.09 ,0.09 ,2.4,2.4 ,0.6 ,1530,4.4  ,1.5 ,-2484  ,      
 ,A,Mawson          ,SWA ,D,0.16 ,0.16 ,2.8,2.8 ,1.2 ,2070,5.0  ,1.0 ,-2534  ,      
 ,J,Schlupp         ,CRY ,D,0.02 ,0.02 ,2.1,2.1 ,1.0 ,1560,4.7  ,0.3 ,-2642  ,      
x,A,Ogbonna         ,WHU ,D,0.07 ,0.07 ,2.3,2.3 ,1.4 ,1620,4.5  ,6.1 ,-2737  ,      
 ,G,Sigurdsson      ,EVE ,M,0.16 ,0.2  ,3.3,3.6 ,2.0 ,1743,8.0  ,2.0 ,-2877  ,      
 ,S,Davis           ,SOU ,M,0.31 ,0.4  ,3.5,3.9 ,1.6 ,1373,4.8  ,2.3 ,-2926  ,      
 ,L,Baines          ,EVE ,D,0.14 ,0.16 ,2.8,2.9 ,0.0 ,1099,5.6  ,3.0 ,-3070  ,      
 ,K,Walker          ,MCI ,D,0.35 ,0.39 ,4.3,4.6 ,4.8 ,1843,6.6  ,12.9,-3269  ,      
 ,T,Cleverley       ,WAT ,M,0.1  ,0.12 ,2.5,2.6 ,1.6 ,1829,5.0  ,0.6 ,-3272  ,      
 ,S,Mignolet        ,LIV ,G,0.31 ,0.31 ,3.5,3.5 ,2.2 ,1710,4.9  ,1.4 ,-3280  ,      
 ,S,Arfield         ,BUR ,M,0.31 ,0.39 ,3.5,3.9 ,2.4 ,1175,4.9  ,0.3 ,-3344  ,      
 ,R,Klavan          ,LIV ,D,0.48 ,0.59 ,4.1,4.6 ,4.0 ,1172,4.4  ,3.3 ,-3701  ,      
 ,J,Manquillo       ,NEW ,D,0.09 ,0.09 ,2.4,2.4 ,1.6 ,1620,4.4  ,1.0 ,-3988  ,      
 ,A,Begovic         ,BOU ,G,0.24 ,0.24 ,3.1,3.1 ,1.4 ,2070,4.5  ,4.0 ,-3996  ,      
 ,P,Cech            ,ARS ,G,0.31 ,0.31 ,3.7,3.7 ,1.8 ,2070,5.4  ,4.8 ,-4401  ,      
 ,S,Duffy           ,BHA ,D,0.24 ,0.24 ,3.1,3.1 ,2.0 ,1962,4.6  ,4.1 ,-4601  ,      
 ,F,Delph           ,MCI ,M,0.13 ,0.11 ,2.6,2.5 ,1.2 ,1282,4.5  ,0.6 ,-4745  ,      
 ,S,Mustafi         ,ARS ,D,0.47 ,0.62 ,4.6,5.4 ,2.2 ,1139,5.5  ,3.4 ,-4871  ,      
 ,R,Bertrand        ,SOU ,D,0.19 ,0.19 ,3.0,3.0 ,0.4 ,1795,5.3  ,4.8 ,-5196  ,      
 ,H,Gomes           ,WAT ,G,0.16 ,0.16 ,2.7,2.7 ,1.8 ,2038,4.5  ,2.1 ,-5361  ,      
 ,D,Gray            ,LEI ,M,0.08 ,0.34 ,2.4,3.8 ,1.4 ,1061,5.3  ,0.9 ,-5401  ,      
 ,E,Choupo-Moting   ,STK ,M,0.31 ,0.41 ,3.7,4.2 ,3.8 ,1675,5.4  ,3.3 ,-5476  ,      
 ,C,Atsu            ,NEW ,M,0.29 ,0.4  ,3.4,3.9 ,4.8 ,1434,4.8  ,2.0 ,-5504  ,      
 ,D,Simpson         ,LEI ,D,0.07 ,0.07 ,2.3,2.3 ,0.2 ,1659,4.3  ,1.7 ,-5641  ,      
 ,X,Shaqiri         ,STK ,M,0.33 ,0.35 ,4.0,4.1 ,1.4 ,1704,6.0  ,5.5 ,-5707  ,      
x,J,Lascelles       ,NEW ,D,0.37 ,0.37 ,3.7,3.7 ,3.8 ,1577,4.6  ,5.9 ,-5867  ,      
x,N,Pope            ,BUR ,G,0.58 ,0.58 ,4.8,4.8 ,2.6 ,1764,4.8  ,8.1 ,-5902  ,      
 ,T,Bakayoko        ,CHE ,M,0.2  ,0.34 ,3.0,3.7 ,2.4 ,1550,5.0  ,2.2 ,-5917  ,      
 ,L,Dunk            ,BHA ,D,0.13 ,0.13 ,2.6,2.6 ,3.2 ,2070,4.5  ,3.8 ,-6186  ,      
 ,J,Mata            ,MUN ,M,0.31 ,0.4  ,4.1,4.7 ,5.2 ,1256,6.8  ,2.4 ,-6303  ,      
 ,A,Young           ,MUN ,M,0.44 ,0.48 ,4.2,4.4 ,3.4 ,1434,5.0  ,2.1 ,-6684  ,      
 ,J,Vertonghen      ,TOT ,D,0.27 ,0.27 ,3.6,3.6 ,4.4 ,2039,6.0  ,9.6 ,-6848  ,      
 ,N,Matic           ,MUN ,M,0.1  ,0.1  ,2.5,2.5 ,2.2 ,2033,4.8  ,8.6 ,-7210  ,      
 ,J,Hart            ,WHU ,G,0.28 ,0.28 ,3.2,3.2 ,0.0 ,1260,4.3  ,5.5 ,-7425  ,      
 ,M,Keane           ,EVE ,D,0.04 ,0.06 ,2.2,2.3 ,3.2 ,1344,5.3  ,4.5 ,-7570  ,      
 ,N,Kanté           ,CHE ,M,0.24 ,0.24 ,3.2,3.2 ,2.6 ,1734,4.9  ,11.8,-7859  ,      
 ,C,Schindler       ,HUD ,D,0.22 ,0.22 ,3.0,3.0 ,2.6 ,1946,4.6  ,3.7 ,-7873  ,      
 ,F,Fernandinho     ,MCI ,M,0.24 ,0.25 ,3.2,3.3 ,3.0 ,1901,5.1  ,5.9 ,-7895  ,      
