O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,min ,price,%   ,txn    ,123000
 ,S,Boufal          ,SOU ,M,0.07 ,0.11 ,2.4,2.6 ,792 ,5.7  ,0.2 ,366    ,      
 ,C,Schindler       ,HUD ,D,0.2  ,0.2  ,2.9,2.9 ,1676,4.6  ,3.4 ,320    ,      
 ,M,Diamé           ,NEW ,M,-0.04,0.17 ,1.8,2.8 ,563 ,4.6  ,0.1 ,304    ,      
 ,M,Schneiderlin    ,EVE ,M,-0.06,0.0  ,1.7,2.0 ,1133,4.7  ,0.5 ,224    ,      
 ,C,Benteke         ,CRY ,F,0.01 ,0.03 ,2.1,2.2 ,1118,7.6  ,2.0 ,214    ,      
 ,J,Gudmundsson     ,BUR ,M,0.16 ,0.18 ,2.8,2.9 ,1424,5.0  ,0.4 ,157    ,      
 ,E,Can             ,LIV ,M,0.27 ,0.33 ,3.3,3.6 ,1175,4.8  ,4.1 ,117    ,      
 ,A,Maitland-Niles  ,ARS ,M,0.0  ,0.16 ,2.0,2.7 ,274 ,4.5  ,0.0 ,106    ,      
 ,A,Carrillo        ,WAT ,M,0.04 ,0.11 ,2.2,2.6 ,1070,5.5  ,0.0 ,104    ,      
~,~,~~~~~~~~        ,~~~~,~,~~~~ ,~~~~~,~~~,~~~~,~~~ ,~~~~~,~   ,44.83  ,~~~~~~
 ,R,van La Parra    ,HUD ,M,-0.04,0.04 ,1.8,2.2 ,934 ,4.8  ,0.1 ,-16    ,      
 ,M,Kelly           ,CRY ,D,0.29 ,0.48 ,3.2,4.0 ,398 ,4.2  ,0.3 ,-30    ,      
 ,T,Smith           ,HUD ,D,0.08 ,0.06 ,2.4,2.3 ,1323,4.8  ,0.3 ,-32    ,      
 ,W,Hoedt           ,SOU ,D,0.04 ,0.04 ,2.2,2.2 ,990 ,5.0  ,0.0 ,-41    ,      
 ,J,Murphy          ,NEW ,M,-0.1 ,-0.02,1.5,1.9 ,643 ,5.0  ,0.1 ,-42    ,      
 ,J,McClean         ,WBA ,M,-0.17,0.17 ,1.2,2.8 ,589 ,4.8  ,0.1 ,-63    ,      
 ,D,Pröpper         ,BHA ,M,0.11 ,0.11 ,2.6,2.6 ,1800,5.3  ,0.1 ,-68    ,      
 ,J,Shelvey         ,NEW ,M,-0.12,0.0  ,1.4,2.0 ,925 ,5.2  ,0.3 ,-70    ,      
 ,S,Mounie          ,HUD ,F,0.18 ,0.44 ,3.0,4.5 ,763 ,5.7  ,1.0 ,-81    ,      
 ,K,Wimmer          ,STK ,D,-0.19,-0.12,1.2,1.5 ,1096,4.2  ,0.3 ,-92    ,      
 ,C,Dawson          ,WBA ,D,0.25 ,0.25 ,3.2,3.2 ,900 ,4.8  ,1.0 ,-97    ,      
 ,J,Livermore       ,WBA ,M,0.06 ,0.08 ,2.3,2.4 ,1578,4.8  ,0.1 ,-108   ,      
 ,R,Fraser          ,BOU ,M,0.06 ,0.2  ,2.3,3.0 ,777 ,5.1  ,0.3 ,-140   ,      
 ,M,Lemina          ,SOU ,M,0.0  ,0.04 ,2.0,2.2 ,1005,4.9  ,0.1 ,-140   ,      
 ,B,Chilwell        ,LEI ,D,0.02 ,0.09 ,2.1,2.4 ,840 ,4.3  ,0.5 ,-141   ,      
 ,D,Sánchez         ,TOT ,D,0.18 ,0.22 ,3.1,3.3 ,1132,6.0  ,0.4 ,-161   ,      
 ,V,Iborra          ,LEI ,M,0.12 ,0.14 ,2.7,2.8 ,964 ,5.8  ,0.1 ,-182   ,      
 ,B,Bernardo Silva  ,MCI ,M,0.05 ,0.24 ,2.4,3.8 ,560 ,7.4  ,0.6 ,-183   ,      
 ,L,Lewis Cook      ,BOU ,M,-0.05,0.02 ,1.8,2.1 ,746 ,4.3  ,0.9 ,-184   ,      
