W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf ,111110
 ,R,Sessegnon       ,FUL ,M,0.1  ,0.17 ,2.6,3.0 ,3.5 ,917 ,6.0  ,2.6 ,-303  ,0  ,      
 ,N,Aké             ,BOU ,D,0.32 ,0.36 ,3.6,3.8 ,3.8 ,1080,5.0  ,5.0 ,-308  ,0  ,      
 ,C,Cédric          ,SOU ,D,0.16 ,0.36 ,2.7,3.6 ,4.0 ,1045,4.4  ,4.6 ,-308  ,0  ,      
 ,M,Özil            ,ARS ,M,0.36 ,0.36 ,5.0,5.0 ,4.0 ,746 ,8.4  ,5.9 ,-357  ,0  ,      
o,E,Hazard          ,CHE ,M,0.47 ,0.67 ,7.3,9.6 ,1.5 ,737 ,11.3 ,44.2,-370  ,0  ,      
 ,T,Deeney          ,WAT ,F,0.24 ,-0.34,3.4,0.0 ,0.3 ,768 ,5.9  ,2.7 ,-395  ,0  ,      
 ,W,Boly            ,WOL ,D,0.41 ,-0.43,3.9,0.0 ,1.0 ,990 ,4.6  ,4.7 ,-400  ,0  ,      
 ,P,Zabaleta        ,WHU ,D,0.16 ,0.07 ,2.7,2.3 ,1.5 ,792 ,4.3  ,2.6 ,-402  ,0  ,      
 ,A,Knockaert       ,BHA ,M,0.18 ,0.33 ,3.0,3.8 ,0.8 ,803 ,5.5  ,1.1 ,-409  ,-1 ,      
 ,A,Masuaku         ,WHU ,M,0.0  ,0.16 ,2.0,2.7 ,0.5 ,720 ,4.4  ,1.8 ,-411  ,0  ,      
 ,A,Begovic         ,BOU ,G,0.31 ,0.33 ,3.4,3.5 ,4.8 ,1080,4.5  ,4.4 ,-418  ,0  ,      
m,G,Murray          ,BHA ,F,0.35 ,0.48 ,4.3,5.2 ,3.0 ,904 ,6.6  ,5.5 ,-442  ,0  ,      
 ,A,Doucouré        ,WAT ,M,0.24 ,0.54 ,3.4,5.2 ,4.5 ,1080,5.9  ,1.7 ,-469  ,0  ,      
