W,I,web_name        ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn    ,gf ,122417
 ,D,Pröpper         ,BHA ,M,4.8 ,76 ,0.0  ,0.0  ,2.0,2.0 ,2.0 ,0.1 ,-1     ,0  ,      
 ,P,Zabaleta        ,WHU ,D,4.3 ,77 ,0.14 ,0.19 ,2.6,2.8 ,2.6 ,2.8 ,-44    ,0  ,      
 ,H,Arter           ,CAR ,M,4.9 ,76 ,-0.04,-0.04,1.8,1.8 ,2.2 ,0.2 ,-46    ,0  ,      
 ,D,Hoilett         ,CAR ,M,5.0 ,61 ,0.12 ,0.28 ,2.6,3.4 ,4.0 ,0.1 ,-52    ,-1 ,      
 ,J,Lössl           ,HUD ,G,4.4 ,88 ,0.2  ,0.23 ,2.9,3.0 ,2.7 ,1.7 ,-64    ,0  ,      
 ,F,Hadergjonaj     ,HUD ,D,4.4 ,76 ,0.02 ,0.09 ,2.1,2.4 ,2.0 ,0.1 ,-82    ,-1 ,      
 ,M,Diamé           ,NEW ,M,4.9 ,98 ,0.04 ,0.02 ,2.2,2.1 ,2.2 ,0.1 ,-115   ,-2 ,      
 ,B,Ecuele Manga    ,CAR ,D,4.4 ,100,0.02 ,0.05 ,2.1,2.2 ,2.0 ,0.1 ,-119   ,-2 ,      
 ,G,Bong            ,BHA ,D,4.4 ,66 ,0.05 ,0.07 ,2.2,2.3 ,0.2 ,0.2 ,-124   ,-1 ,      
 ,M,Lemina          ,SOU ,M,4.8 ,83 ,0.06 ,0.08 ,2.3,2.4 ,1.6 ,0.2 ,-126   ,-1 ,      
 ,T,Kongolo         ,HUD ,D,4.3 ,75 ,0.07 ,0.12 ,2.3,2.5 ,3.0 ,0.3 ,-174   ,-1 ,      
 ,M,Lowton          ,BUR ,D,4.6 ,67 ,-0.07,-0.04,1.7,1.8 ,0.5 ,0.3 ,-212   ,-1 ,      
 ,C,Löwe            ,HUD ,D,4.4 ,69 ,0.07 ,0.16 ,2.3,2.7 ,0.3 ,0.2 ,-292   ,-2 ,      
 ,W,Hoedt           ,SOU ,D,4.3 ,72 ,0.05 ,0.05 ,2.2,2.2 ,0.0 ,0.3 ,-305   ,-2 ,      
 ,I,Diop            ,WHU ,D,4.3 ,89 ,0.02 ,0.07 ,2.1,2.3 ,3.0 ,0.9 ,-335   ,-1 ,      
 ,I,Gueye           ,EVE ,M,4.8 ,81 ,0.02 ,0.02 ,2.1,2.1 ,1.2 ,0.3 ,-405   ,-2 ,      
 ,M,Ritchie         ,NEW ,M,5.8 ,74 ,0.05 ,0.09 ,2.3,2.5 ,1.7 ,0.4 ,-435   ,-2 ,      
 ,A,Pritchard       ,HUD ,M,4.8 ,70 ,0.06 ,0.13 ,2.3,2.6 ,1.8 ,0.1 ,-579   ,-10,      
 ,S,Morrison        ,CAR ,D,4.7 ,99 ,0.13 ,0.15 ,2.6,2.7 ,3.4 ,0.5 ,-614   ,-2 ,      
 ,E,Capoue          ,WAT ,M,4.9 ,78 ,0.22 ,0.22 ,3.1,3.1 ,0.4 ,0.6 ,-631   ,-2 ,      
 ,M,Dubravka        ,NEW ,G,5.0 ,100,0.38 ,0.36 ,3.9,3.8 ,3.8 ,0.6 ,-655   ,-2 ,      
