O,I,web_name      ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf ,021211
 ,M,Olsson        ,SWA ,D,0.14 ,0.14 ,2.7,2.7 ,2.5 ,2214,5.0  ,0.3 ,-27   ,0  ,      
 ,P,Badou Ndiaye  ,STK ,M,0.18 ,0.18 ,3.0,3.0 ,3.0 ,148 ,5.5  ,0.0 ,-42   ,0.0,      
 ,M,Merino        ,NEW ,M,0.04 ,0.04 ,2.2,2.2 ,0.8 ,1245,5.0  ,0.1 ,-49   ,-1 ,      
 ,M,Schneiderlin  ,EVE ,M,-0.09,-0.02,1.6,1.9 ,1.2 ,1530,4.7  ,0.5 ,-51   ,0  ,      
 ,J,Hendrick      ,BUR ,M,0.15 ,0.17 ,2.8,2.9 ,1.8 ,1886,5.4  ,0.2 ,-55   ,0  ,      
 ,S,March         ,BHA ,M,0.04 ,0.18 ,2.2,2.9 ,2.3 ,1584,4.9  ,0.2 ,-61   ,-1 ,      
 ,G,Krychowiak    ,WBA ,M,0.08 ,0.21 ,2.4,3.0 ,1.8 ,1219,4.8  ,0.2 ,-67   ,-1 ,      
 ,K,Wimmer        ,STK ,D,-0.22,-0.17,1.1,1.3 ,0.2 ,1321,4.1  ,0.3 ,-69   ,0  ,      
 ,G,Barry         ,WBA ,M,0.07 ,0.04 ,2.3,2.2 ,1.0 ,1774,4.5  ,0.9 ,-73   ,0  ,      
 ,L,Fer           ,SWA ,M,0.0  ,0.1  ,2.0,2.5 ,1.5 ,1394,5.2  ,0.2 ,-79   ,-1 ,      
 ,J,Livermore     ,WBA ,M,0.02 ,0.08 ,2.1,2.4 ,0.3 ,1754,4.8  ,0.1 ,-80   ,-1 ,      
 ,T,Ince          ,HUD ,M,0.09 ,0.11 ,2.5,2.6 ,1.3 ,2063,5.5  ,0.4 ,-83   ,0  ,      
 ,A,Adam Smith    ,BOU ,D,-0.02,0.02 ,1.9,2.1 ,1.0 ,1786,4.8  ,0.4 ,-86   ,0  ,      
 ,J,Henderson     ,LIV ,M,0.17 ,0.21 ,2.9,3.1 ,1.2 ,1418,5.3  ,1.1 ,-103  ,0  ,      
 ,G,Cameron       ,STK ,D,-0.12,-0.09,1.5,1.6 ,0.4 ,1227,4.3  ,0.3 ,-106  ,-1 ,      
 ,D,Gayle         ,NEW ,F,0.05 ,0.26 ,2.3,3.6 ,2.3 ,1228,6.1  ,0.8 ,-107  ,0  ,      
 ,S,Dann          ,CRY ,D,-0.02,0.0  ,1.9,2.0 ,0.0 ,1434,4.6  ,0.3 ,-114  ,-1 ,      
 ,C,Kouyaté       ,WHU ,M,0.12 ,0.18 ,2.6,2.9 ,2.3 ,1810,5.0  ,0.4 ,-120  ,-1 ,      
 ,A,Carrillo      ,WAT ,M,0.09 ,0.2  ,2.5,3.1 ,1.0 ,1425,5.5  ,0.1 ,-123  ,-2 ,      
 ,R,Brady         ,BUR ,M,0.32 ,0.36 ,3.7,3.9 ,0.0 ,1277,5.3  ,0.4 ,-133  ,-1 ,      
 ,D,Fletcher      ,STK ,M,0.13 ,0.13 ,2.6,2.6 ,1.8 ,2110,4.8  ,0.4 ,-141  ,-1 ,      
 ,J,Schlupp       ,CRY ,D,0.02 ,0.02 ,2.1,2.1 ,0.0 ,1560,4.7  ,0.2 ,-143  ,-1 ,      
