O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,011220
 ,A,Nyom            ,WBA ,D,0.15 ,0.19 ,2.7,2.9 ,0.6 ,1321,4.8  ,1.2 ,-1936  ,      
 ,A,Mawson          ,SWA ,D,0.18 ,0.18 ,2.9,2.9 ,1.2 ,1980,5.0  ,1.0 ,-1947  ,      
 ,D,Tadic           ,SOU ,M,0.22 ,0.21 ,3.4,3.3 ,2.6 ,1522,6.3  ,1.6 ,-2097  ,      
 ,O,Oriol Romeu     ,SOU ,M,0.05 ,0.07 ,2.2,2.3 ,1.8 ,1709,4.3  ,2.2 ,-2112  ,      
 ,F,Delph           ,MCI ,M,0.16 ,0.11 ,2.7,2.5 ,1.2 ,1252,4.5  ,0.7 ,-2146  ,      
 ,M,Ritchie         ,NEW ,M,0.24 ,0.25 ,3.3,3.4 ,1.8 ,1733,5.5  ,2.1 ,-2149  ,      
 ,J,Butland         ,STK ,G,0.14 ,0.14 ,2.7,2.7 ,3.0 ,1710,5.0  ,2.2 ,-2192  ,      
 ,K,Trippier        ,TOT ,D,0.53 ,0.58 ,4.8,5.1 ,1.8 ,1173,5.3  ,4.5 ,-2358  ,      
 ,J,Schlupp         ,CRY ,D,0.02 ,0.02 ,2.1,2.1 ,2.0 ,1560,4.7  ,0.3 ,-2449  ,      
 ,D,Stephens        ,BHA ,M,0.09 ,0.09 ,2.4,2.4 ,2.2 ,1980,4.5  ,1.3 ,-2510  ,      
 ,N,Redmond         ,SOU ,M,0.03 ,0.08 ,2.2,2.5 ,1.2 ,1369,6.0  ,1.7 ,-2561  ,      
 ,J,Matip           ,LIV ,D,0.3  ,0.31 ,3.6,3.7 ,1.8 ,1351,5.4  ,1.9 ,-2625  ,      
 ,S,Mignolet        ,LIV ,G,0.31 ,0.31 ,3.5,3.5 ,3.4 ,1710,4.9  ,1.5 ,-2641  ,      
 ,F,Fernández       ,SWA ,D,0.09 ,0.09 ,2.4,2.4 ,0.6 ,1530,4.5  ,1.6 ,-2838  ,      
 ,B,Alli            ,TOT ,M,0.32 ,0.33 ,4.9,5.0 ,6.8 ,1744,9.0  ,15.5,-2915  ,      
 ,J,Allen           ,STK ,M,0.2  ,0.2  ,3.0,3.0 ,4.2 ,1782,5.1  ,1.5 ,-2923  ,      
 ,M,Holgate         ,EVE ,D,0.23 ,0.23 ,3.0,3.0 ,1.4 ,990 ,4.3  ,1.9 ,-2995  ,      
 ,C,Smalling        ,MUN ,D,0.28 ,0.32 ,3.5,3.7 ,0.6 ,1185,5.3  ,2.0 ,-3017  ,      
 ,E,Dier            ,TOT ,M,0.04 ,0.06 ,2.2,2.3 ,2.4 ,1851,4.7  ,2.5 ,-3083  ,      
 ,R,Shawcross       ,STK ,D,0.06 ,0.08 ,2.3,2.4 ,0.6 ,1291,4.8  ,0.7 ,-3131  ,      
 ,V,Moses           ,CHE ,D,0.27 ,0.38 ,3.7,4.4 ,4.2 ,1062,6.4  ,1.2 ,-3132  ,      
 ,A,Ramsey          ,ARS ,M,0.49 ,0.54 ,5.4,5.7 ,0.0 ,1196,6.9  ,2.5 ,-3277  ,      
 ,J,Henderson       ,LIV ,M,0.17 ,0.2  ,2.9,3.1 ,0.8 ,1272,5.4  ,1.2 ,-3301  ,      
x,A,Ogbonna         ,WHU ,D,0.09 ,0.09 ,2.4,2.4 ,2.2 ,1530,4.5  ,6.2 ,-3344  ,      
 ,I,Gündogan        ,MCI ,M,0.0  ,0.53 ,2.0,4.8 ,3.6 ,470 ,5.3  ,0.6 ,-3509  ,      
 ,N,Kanté           ,CHE ,M,0.27 ,0.27 ,3.3,3.3 ,2.8 ,1644,4.9  ,11.9,-3528  ,      
 ,P,Jagielka        ,EVE ,D,-0.02,0.02 ,1.9,2.1 ,2.0 ,1084,4.7  ,2.5 ,-3529  ,      
 ,J,King            ,BOU ,F,0.13 ,0.13 ,2.9,2.9 ,2.0 ,1465,7.0  ,1.1 ,-3616  ,      
 ,B,Mee             ,BUR ,D,0.31 ,0.31 ,3.5,3.5 ,2.8 ,1800,4.9  ,15.2,-3804  ,      
 ,H,Gomes           ,WAT ,G,0.18 ,0.18 ,2.8,2.8 ,1.8 ,1948,4.5  ,2.2 ,-4878  ,      
 ,T,Bakayoko        ,CHE ,M,0.2  ,0.34 ,3.0,3.7 ,2.4 ,1460,5.0  ,2.3 ,-5056  ,      
 ,E,Can             ,LIV ,M,0.23 ,0.27 ,3.1,3.3 ,2.8 ,1355,4.8  ,3.9 ,-5214  ,      
 ,G,Sigurdsson      ,EVE ,M,0.17 ,0.21 ,3.4,3.7 ,3.4 ,1653,8.0  ,2.1 ,-5283  ,      
 ,S,Dann            ,CRY ,D,-0.02,0.0  ,1.9,2.0 ,1.8 ,1434,4.7  ,0.4 ,-5332  ,      
 ,M,Lowton          ,BUR ,D,0.48 ,0.48 ,4.1,4.1 ,0.0 ,1170,4.4  ,2.0 ,-5667  ,      
 ,A,Moreno          ,LIV ,D,0.39 ,0.39 ,3.7,3.7 ,0.0 ,1080,4.4  ,1.4 ,-5877  ,      
 ,K,Schmeichel      ,LEI ,G,0.3  ,0.3  ,3.5,3.5 ,2.2 ,1980,5.0  ,4.0 ,-5894  ,      
 ,C,Fàbregas        ,CHE ,M,0.15 ,0.22 ,3.0,3.5 ,2.0 ,1345,6.8  ,3.4 ,-6096  ,      
 ,L,Baines          ,EVE ,D,0.14 ,0.16 ,2.8,2.9 ,0.0 ,1099,5.6  ,3.0 ,-6207  ,      
 ,C,Wood            ,BUR ,F,0.21 ,0.25 ,3.3,3.6 ,0.6 ,1021,6.3  ,0.8 ,-6280  ,      
 ,N,Aké             ,BOU ,D,0.14 ,0.16 ,2.7,2.8 ,2.2 ,1912,4.9  ,4.0 ,-6295  ,      
 ,R,Fraser          ,BOU ,M,0.25 ,0.45 ,3.3,4.3 ,4.0 ,867 ,5.1  ,0.6 ,-6947  ,      
 ,B,Foster          ,WBA ,G,0.3  ,0.3  ,3.3,3.3 ,3.0 ,1890,4.4  ,9.4 ,-7023  ,      
 ,D,Gray            ,LEI ,M,0.09 ,0.34 ,2.5,3.8 ,1.6 ,1053,5.3  ,1.0 ,-7412  ,      
 ,A,Robertson       ,LIV ,D,0.47 ,0.47 ,4.2,4.2 ,3.4 ,794 ,4.7  ,2.5 ,-7536  ,      
 ,L,Fabianski       ,SWA ,G,0.43 ,0.43 ,4.0,4.0 ,3.6 ,1980,4.6  ,7.7 ,-7677  ,      
