W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min,price,%   ,txn    ,gf ,092821
 ,M,Diamé           ,NEW ,M,0.04 ,0.04 ,2.2,2.2 ,2.3 ,540,5.0  ,0.1 ,-55    ,-1 ,      
 ,R,van La Parra    ,HUD ,M,0.06 ,0.04 ,2.3,2.2 ,2.0 ,347,4.9  ,0.0 ,-82    ,0.0,      
 ,Y,Bissouma        ,BHA ,M,-0.12,-0.06,1.4,1.7 ,1.3 ,292,4.9  ,0.0 ,-128   ,0.0,      
 ,D,Brooks          ,BOU ,M,0.08 ,0.08 ,2.4,2.4 ,1.7 ,364,5.0  ,0.1 ,-171   ,-3 ,      
 ,S,Morrison        ,CAR ,D,0.27 ,0.27 ,3.3,3.3 ,2.3 ,540,4.9  ,0.5 ,-181   ,-1 ,      
 ,D,Ings            ,SOU ,F,0.53 ,0.7  ,5.0,6.0 ,5.0 ,352,5.7  ,6.8 ,-190   ,0  ,      
 ,G,Bong            ,BHA ,D,-0.18,-0.18,1.2,1.2 ,1.0 ,514,4.5  ,0.2 ,-231   ,-2 ,      
 ,T,Davies          ,EVE ,M,-0.04,-0.04,1.8,1.8 ,1.0 ,336,5.3  ,0.2 ,-250   ,-2 ,      
 ,H,Arter           ,CAR ,M,-0.08,-0.04,1.6,1.8 ,1.3 ,405,4.9  ,0.2 ,-261   ,-2 ,      
 ,C,Löwe            ,HUD ,D,-0.05,-0.05,1.8,1.8 ,3.0 ,430,4.4  ,0.1 ,-261   ,-5 ,      
 ,F,Hadergjonaj     ,HUD ,D,-0.04,-0.04,1.8,1.8 ,1.0 ,435,4.5  ,0.1 ,-279   ,-5 ,      
 ,D,Odoi            ,FUL ,D,-0.22,-0.22,1.0,1.0 ,1.0 ,315,4.5  ,0.1 ,-290   ,-5 ,      
 ,D,Pröpper         ,BHA ,M,-0.04,-0.04,1.8,1.8 ,1.7 ,523,4.9  ,0.1 ,-309   ,-5 ,      
 ,B,Ecuele Manga    ,CAR ,D,0.07 ,0.07 ,2.3,2.3 ,0.3 ,540,4.5  ,0.1 ,-318   ,-6 ,      
o,A,Adam Smith      ,BOU ,D,0.16 ,0.16 ,2.7,2.7 ,3.3 ,486,4.5  ,0.8 ,-332   ,-1 ,      
 ,M,Montoya         ,BHA ,D,-0.18,-0.18,1.2,1.2 ,1.0 ,450,4.5  ,0.2 ,-348   ,-3 ,      
 ,D,Hoilett         ,CAR ,M,0.0  ,0.0  ,2.0,2.0 ,1.7 ,426,5.2  ,0.1 ,-401   ,-7 ,      
 ,I,Gueye           ,EVE ,M,-0.04,-0.04,1.8,1.8 ,1.3 ,450,4.9  ,0.3 ,-403   ,-2 ,      
 ,D,Amartey         ,LEI ,M,-0.13,-0.07,1.4,1.7 ,1.0 ,279,4.5  ,0.3 ,-428   ,-3 ,      
 ,B,Chilwell        ,LEI ,D,0.06 ,0.06 ,2.3,2.3 ,1.0 ,540,5.0  ,0.8 ,-462   ,-1 ,      
 ,S,March           ,BHA ,M,0.1  ,0.1  ,2.5,2.5 ,2.0 ,466,5.0  ,0.1 ,-501   ,-9 ,      
 ,T,Kongolo         ,HUD ,D,-0.18,-0.18,1.2,1.2 ,1.3 ,521,4.4  ,0.2 ,-528   ,-5 ,      
 ,D,David Luiz      ,CHE ,D,0.36 ,0.36 ,4.0,4.0 ,5.3 ,540,5.5  ,4.0 ,-621   ,0  ,      
 ,A,Surman          ,BOU ,M,0.06 ,0.04 ,2.3,2.2 ,0.7 ,345,4.8  ,0.2 ,-728   ,-6 ,      
 ,V,Lindelöf        ,MUN ,D,0.06 ,0.12 ,2.3,2.6 ,3.3 ,482,4.9  ,1.1 ,-745   ,-1 ,      
 ,B,Reid            ,CAR ,F,-0.06,0.0  ,1.7,2.0 ,2.0 ,366,5.3  ,0.3 ,-748   ,-4 ,      
 ,J,Shelvey         ,NEW ,M,0.13 ,0.13 ,2.7,2.7 ,1.0 ,270,5.4  ,0.6 ,-775   ,-2 ,      
 ,D,Gosling         ,BOU ,M,-0.08,-0.08,1.6,1.6 ,0.7 ,450,4.9  ,0.1 ,-784   ,-14,      
 ,J,Ayew            ,CRY ,F,0.17 ,0.17 ,3.0,3.0 ,3.0 ,235,5.9  ,0.3 ,-823   ,-5 ,      
 ,M,Le Marchand     ,FUL ,D,-0.23,-0.23,1.0,1.0 ,0.0 ,360,4.4  ,0.2 ,-863   ,-8 ,      
 ,M,Ritchie         ,NEW ,M,0.1  ,0.1  ,2.6,2.6 ,1.7 ,377,5.9  ,0.5 ,-909   ,-3 ,      
 ,J,Hendrick        ,BUR ,M,0.18 ,0.18 ,3.0,3.0 ,1.0 ,369,5.5  ,0.2 ,-948   ,-8 ,      
 ,J,Ralls           ,CAR ,M,0.04 ,0.04 ,2.2,2.2 ,1.7 ,540,4.9  ,0.2 ,-953   ,-8 ,      
 ,M,Holgate         ,EVE ,D,-0.22,-0.18,1.0,1.2 ,0.7 ,407,4.5  ,0.2 ,-971   ,-9 ,      
 ,T,Fosu-Mensah     ,FUL ,D,-0.22,-0.22,1.0,1.0 ,0.7 ,360,4.5  ,0.6 ,-1007  ,-3 ,      
 ,C,Clark           ,NEW ,D,0.22 ,0.04 ,3.0,2.2 ,2.3 ,395,4.5  ,0.3 ,-1007  ,-6 ,      
 ,D,Calvert-Lewin   ,EVE ,F,0.07 ,0.24 ,2.4,3.3 ,3.3 ,272,5.4  ,0.9 ,-1009  ,-2 ,      
