I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
G,Cahill,CHE,D,0.0,4,2,2.0,103,51.0,6.3,4.0
R,Loftus-Cheek,CRY,M,0.0,6,3,2.0,257,85.0,4.5,7.5
W,Zaha,CRY,M,0.0,2,1,2.0,90,90.0,6.8,3.2
L,Baines,EVE,D,0.0,10,5,2.0,450,90.0,6.0,8.1
C,Fuchs,LEI,D,0.0,8,4,2.0,360,90.0,5.0,3.0
D,Simpson,LEI,D,0.0,10,5,2.0,450,90.0,4.5,4.6
B,Chilwell,LEI,D,0.0,2,1,2.0,90,90.0,4.4,0.3
W,Ndidi,LEI,M,0.0,10,5,2.0,450,90.0,5.0,0.5
P,Coutinho,LIV,M,0.0,2,1,2.0,78,78.0,8.8,3.3
D,Yedlin,NEW,D,0.0,2,1,2.0,90,90.0,4.4,0.2
B,Bojan,STK,M,0.0,2,1,2.0,71,71.0,5.5,0.1
R,Mesa,SWA,M,0.0,2,1,2.0,66,66.0,4.4,0.5
M,Dembélé,TOT,M,0.0,8,4,2.0,288,72.0,5.0,3.1
N,Amrabat,WAT,M,0.0,6,3,2.0,198,66.0,5.0,0.1
M,Noble,WHU,M,0.0,6,3,2.0,220,73.0,5.5,0.2
A,Carroll,WHU,F,0.0,4,2,2.0,162,81.0,5.9,0.2
M,James,LEI,M,0.0,8,4,2.0,338,84.0,4.5,0.5
A,Carrillo,WAT,M,0.0,6,3,2.0,223,74.0,5.5,0.0
R,Sanches,SWA,M,0.0,4,2,2.0,125,62.0,5.0,2.5
G,Sigurdsson,EVE,M,-0.02,7,4,1.8,299,74.0,8.3,4.3
A,Knockaert,BHA,M,-0.03,9,5,1.8,287,57.0,5.9,1.1
A,Townsend,CRY,M,-0.03,9,5,1.8,405,81.0,5.8,1.4
R,Fraser,BOU,M,-0.04,7,4,1.8,268,67.0,5.4,0.6
L,Dunk,BHA,D,-0.04,9,5,1.8,450,90.0,4.5,1.3
J,Gudmundsson,BUR,M,-0.04,9,5,1.8,357,71.0,5.0,0.1
A,Williams,EVE,D,-0.04,9,5,1.8,375,75.0,5.4,3.6
I,Gueye,EVE,M,-0.04,9,5,1.8,424,84.0,5.0,1.1
M,Merino,NEW,M,-0.04,9,5,1.8,374,74.0,5.0,0.1
I,Hayden,NEW,M,-0.04,9,5,1.8,382,76.0,4.5,0.3
D,Gosling,BOU,M,-0.06,5,3,1.7,181,60.0,4.9,0.1
J,Murphy,BHA,M,-0.06,5,3,1.7,157,52.0,4.9,0.1
J,Schlupp,CRY,D,-0.06,5,3,1.7,186,62.0,4.8,0.2
A,Chamberlain,LIV,M,-0.07,8,5,1.6,297,59.0,5.9,2.9
S,Sandro,EVE,F,-0.07,6,4,1.5,207,51.0,7.3,0.6
H,Arter,BOU,M,-0.08,8,5,1.6,450,90.0,4.9,0.7
C,Benteke,CRY,F,-0.08,7,5,1.4,450,90.0,7.7,4.0
W,Morgan,LEI,D,-0.09,8,5,1.6,450,90.0,4.5,2.9
T,Fosu-Mensah,CRY,D,-0.09,8,5,1.6,437,87.0,4.5,1.6
M,Schneiderlin,EVE,M,-0.1,6,4,1.5,357,89.0,5.0,0.8
T,Bakayoko,CHE,M,-0.1,6,4,1.5,240,60.0,5.0,0.7
J,McArthur,CRY,M,-0.11,6,4,1.5,255,63.0,4.5,2.9
C,Lee Chung-yong,CRY,M,-0.11,3,2,1.5,109,54.0,4.4,0.7
M,Holgate,EVE,D,-0.11,3,2,1.5,180,90.0,4.4,1.0
C,Yacob,WBA,M,-0.11,3,2,1.5,110,55.0,4.5,0.3
N,Aké,BOU,D,-0.12,7,5,1.4,450,90.0,5.0,4.9
S,Dann,CRY,D,-0.12,7,5,1.4,450,90.0,4.9,0.8
Y,Cabaye,CRY,M,-0.13,4,3,1.3,212,70.0,5.5,0.3
M,Pugh,BOU,M,-0.14,4,3,1.3,165,55.0,4.9,0.1
D,Williams,HUD,M,-0.14,4,3,1.3,152,50.0,4.9,0.1
S,Francis,BOU,D,-0.16,4,3,1.3,214,71.0,4.4,1.3
J,Puncheon,CRY,M,-0.16,6,5,1.2,433,86.0,4.9,0.8
P,van Aanholt,CRY,D,-0.19,3,3,1.0,218,72.0,5.3,2.0
M,Darmian,MUN,D,-0.19,1,1,1.0,90,90.0,5.2,0.3
A,Adam Smith,BOU,D,-0.2,5,5,1.0,370,74.0,4.9,0.7
B,Martins Indi,STK,D,-0.2,4,4,1.0,226,56.0,5.0,0.0
E,Fernandes,WHU,M,-0.22,3,3,1.0,171,57.0,4.5,0.3
A,Masuaku,WHU,D,-0.23,1,1,1.0,80,80.0,4.4,0.2
S,Steve Cook,BOU,D,-0.24,3,4,0.8,360,90.0,4.9,0.5
J,Ward,CRY,D,-0.24,4,5,0.8,450,90.0,4.9,0.3
L,Rosenior,BHA,D,-0.25,3,3,1.0,163,54.0,4.0,3.2
M,Arnautovic,WHU,M,-0.25,1,3,0.3,154,51.0,6.9,0.8
K,Wimmer,STK,D,-0.34,1,2,0.5,180,90.0,4.4,0.6
T,Alexander-Arnold,LIV,D,-0.38,1,3,0.3,270,90.0,4.5,2.1
A,Ogbonna,WHU,D,-0.39,1,3,0.3,270,90.0,4.4,0.9
C,Martina,EVE,D,-0.4,1,3,0.3,225,75.0,4.3,0.4
