O,I,web_name      ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf ,031610
 ,D,Stephens      ,BHA ,M,0.11 ,0.11 ,2.5,2.5 ,2.0 ,2610,4.5  ,1.5 ,-8856 ,-10,      
 ,D,Pröpper       ,BHA ,M,0.09 ,0.09 ,2.5,2.5 ,2.0 ,2685,5.3  ,0.1 ,-56   ,-1 ,      
 ,J,Cork          ,BUR ,M,0.11 ,0.11 ,2.5,2.5 ,2.3 ,2700,4.5  ,2.7 ,-2702 ,-2 ,      
 ,N,Redmond       ,SOU ,M,0.03 ,0.08 ,2.2,2.5 ,2.3 ,1641,5.9  ,1.8 ,-304  ,0  ,      
 ,L,Fer           ,SWA ,M,0.0  ,0.1  ,2.0,2.5 ,0.0 ,1394,5.2  ,0.2 ,-42   ,0  ,      
 ,E,Dier          ,TOT ,M,0.09 ,0.11 ,2.4,2.5 ,2.0 ,2464,4.7  ,2.5 ,-4757 ,-3 ,      
 ,T,Davies        ,EVE ,M,-0.04,0.08 ,1.8,2.4 ,2.0 ,1492,5.1  ,0.5 ,1677  ,6  ,      
 ,W,Ndidi         ,LEI ,M,0.08 ,0.08 ,2.4,2.4 ,1.7 ,2670,4.9  ,0.5 ,-825  ,-3 ,      
 ,L,Lewis Cook    ,BOU ,M,0.0  ,0.07 ,2.0,2.3 ,3.0 ,1633,4.3  ,1.3 ,758   ,1  ,      
 ,J,Livermore     ,WBA ,M,0.0  ,0.06 ,2.0,2.3 ,1.3 ,1951,4.8  ,0.1 ,52    ,1  ,      
 ,I,Gueye         ,EVE ,M,0.04 ,0.04 ,2.2,2.2 ,1.0 ,2198,4.8  ,0.8 ,-179  ,0  ,      
 ,M,Dembélé       ,TOT ,M,-0.02,0.04 ,1.9,2.2 ,2.3 ,1545,4.9  ,1.7 ,-740  ,-1 ,      
 ,G,Barry         ,WBA ,M,0.04 ,0.04 ,2.2,2.2 ,0.7 ,1921,4.5  ,0.9 ,-1448 ,-3 ,      
 ,O,Oriol Romeu   ,SOU ,M,0.0  ,0.02 ,2.0,2.1 ,1.7 ,2267,4.3  ,2.1 ,-3186 ,-3 ,      
 ,M,Schneiderlin  ,EVE ,M,-0.09,-0.02,1.6,1.9 ,0.0 ,1530,4.7  ,0.5 ,-435  ,-1 ,      
 ,J,Hogg          ,HUD ,M,-0.07,-0.02,1.7,1.9 ,2.0 ,1720,4.4  ,0.2 ,141   ,1  ,      
