O,I,web_name        ,team,T,VA/M ,pt ,g ,p/g,min ,m/g,price,%   ,net_trans,1207 14
 ,A,Ayew            ,WHU ,M,0.12 ,37 ,13,2.8,705 ,54 ,6.9  ,1.1 ,-1033    ,       
 ,D,Yedlin          ,NEW ,D,0.0  ,22 ,11,2.0,905 ,82 ,4.4  ,0.7 ,-1051    ,       
 ,A,Knockaert       ,BHA ,M,0.16 ,43 ,15,2.9,1066,71 ,5.7  ,0.8 ,-1058    ,       
 ,J,Butland         ,STK ,G,0.16 ,33 ,12,2.8,1080,90 ,5.0  ,2.3 ,-1059    ,       
 ,D,Fletcher        ,STK ,M,0.14 ,40 ,15,2.7,1323,88 ,4.9  ,0.7 ,-1059    ,       
 ,D,Blind           ,MUN ,D,0.54 ,19 ,4 ,4.8,271 ,68 ,5.2  ,1.1 ,-1060    ,       
 ,D,Welbeck         ,ARS ,F,0.22 ,32 ,9 ,3.6,508 ,56 ,7.3  ,0.8 ,-1077    ,       
 ,N,Kanté           ,CHE ,M,0.31 ,42 ,12,3.5,1066,89 ,4.9  ,12.3,-1085    ,       
 ,P,Obiang          ,WHU ,M,0.11 ,27 ,11,2.5,824 ,75 ,4.4  ,1.1 ,-1092    ,       
 ,J,Holebas         ,WAT ,D,0.14 ,30 ,11,2.7,904 ,82 ,4.9  ,0.5 ,-1111    ,       
 ,L,Grant           ,STK ,G,-0.07,5  ,3 ,1.7,270 ,90 ,4.3  ,0.3 ,-1120    ,       
 ,R,Sanches         ,SWA ,M,-0.07,15 ,9 ,1.7,507 ,56 ,4.6  ,0.5 ,-1124    ,       
 ,Y,Cabaye          ,CRY ,M,0.07 ,29 ,12,2.4,952 ,79 ,5.4  ,0.3 ,-1127    ,       
 ,S,Long            ,SOU ,F,-0.04,23 ,13,1.8,670 ,52 ,5.7  ,0.3 ,-1163    ,       
 ,M,Britos          ,WAT ,D,0.05 ,20 ,9 ,2.2,704 ,78 ,4.4  ,0.8 ,-1166    ,       
 ,P,Zabaleta        ,WHU ,D,0.0  ,28 ,14,2.0,1231,88 ,4.9  ,1.6 ,-1198    ,       
 ,M,Ritchie         ,NEW ,M,0.32 ,57 ,15,3.8,1310,87 ,5.7  ,3.0 ,-1212    ,       
 ,N,Chalobah        ,WAT ,M,0.09 ,12 ,5 ,2.4,429 ,86 ,4.3  ,1.0 ,-1257    ,       
 ,A,Adam Smith      ,BOU ,D,-0.04,25 ,14,1.8,1046,75 ,4.8  ,0.4 ,-1280    ,       
 ,C,Clark           ,NEW ,D,0.29 ,39 ,12,3.3,1025,85 ,4.5  ,2.1 ,-1310    ,       
 ,D,Danilo          ,MCI ,D,0.32 ,25 ,7 ,3.6,379 ,54 ,5.0  ,1.8 ,-1326    ,       
 ,S,Dann            ,CRY ,D,-0.17,13 ,11,1.2,990 ,90 ,4.7  ,0.5 ,-1426    ,       
 ,A,Carroll         ,WHU ,F,-0.17,8  ,8 ,1.0,539 ,67 ,5.9  ,0.2 ,-1474    ,       
 ,C,Brunt           ,WBA ,M,0.35 ,19 ,5 ,3.8,402 ,80 ,5.1  ,0.6 ,-1476    ,       
 ,G,Wijnaldum       ,LIV ,M,0.12 ,37 ,13,2.8,1051,81 ,6.7  ,2.4 ,-1588    ,       
 ,R,Klavan          ,LIV ,D,0.37 ,25 ,7 ,3.6,630 ,90 ,4.3  ,1.0 ,-1608    ,       
 ,S,Rondón          ,WBA ,F,0.0  ,28 ,14,2.0,878 ,63 ,6.0  ,0.9 ,-1680    ,       
 ,C,Schindler       ,HUD ,D,0.15 ,38 ,14,2.7,1226,88 ,4.6  ,2.9 ,-1682    ,       
 ,K,Zouma           ,STK ,D,0.11 ,36 ,14,2.6,1260,90 ,5.5  ,2.4 ,-1751    ,       
 ,J,Henderson       ,LIV ,M,0.2  ,40 ,13,3.1,1080,83 ,5.5  ,1.7 ,-1755    ,       
 ,N,Redmond         ,SOU ,M,0.1  ,37 ,14,2.6,1010,72 ,6.1  ,2.1 ,-1802    ,       
 ,J,Rodriguez       ,WBA ,F,0.07 ,34 ,14,2.4,1202,86 ,5.6  ,0.8 ,-1855    ,       
 ,V,Kompany         ,MCI ,D,0.12 ,16 ,6 ,2.7,529 ,88 ,5.8  ,2.3 ,-1881    ,       
 ,D,Tadic           ,SOU ,M,0.17 ,44 ,14,3.1,1096,78 ,6.3  ,1.8 ,-1894    ,       
 ,W,Hennessey       ,CRY ,G,0.3  ,30 ,9 ,3.3,810 ,90 ,4.3  ,1.1 ,-2028    ,       
