O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,min ,price,%   ,txn  ,122610
 ,J,Schlupp         ,CRY ,D,0.02 ,0.04 ,2.1,2.2 ,1407,4.7  ,0.4 ,33   ,      
 ,D,Yedlin          ,NEW ,D,-0.02,-0.02,1.9,1.9 ,1265,4.4  ,0.6 ,28   ,      
 ,S,Boufal          ,SOU ,M,0.07 ,0.0  ,2.4,2.0 ,792 ,5.7  ,0.2 ,27   ,      
 ,S,Long            ,SOU ,F,-0.05,0.07 ,1.7,2.4 ,760 ,5.6  ,0.3 ,26   ,      
 ,C,Kabasele        ,WAT ,D,0.15 ,0.2  ,2.7,2.9 ,1503,4.6  ,2.4 ,26   ,      
 ,J,Vertonghen      ,TOT ,D,0.23 ,0.25 ,3.4,3.5 ,1769,6.0  ,8.2 ,24   ,      
 ,S,Arfield         ,BUR ,M,0.27 ,0.43 ,3.3,4.1 ,915 ,4.9  ,0.3 ,22   ,      
 ,J,Tomkins         ,CRY ,D,0.07 ,0.14 ,2.3,2.6 ,772 ,4.3  ,0.5 ,22   ,      
 ,S,Dann            ,CRY ,D,0.02 ,0.02 ,2.1,2.1 ,1325,4.7  ,0.6 ,18   ,      
 ,M,Özil            ,ARS ,M,0.31 ,0.37 ,4.9,5.4 ,1280,9.3  ,2.8 ,16   ,      
 ,N,Kanté           ,CHE ,M,0.24 ,0.29 ,3.2,3.4 ,1412,4.9  ,12.2,16   ,      
 ,K,Zouma           ,STK ,D,0.09 ,0.11 ,2.5,2.6 ,1511,5.4  ,2.0 ,15   ,      
 ,A,Carroll         ,WHU ,F,-0.12,-0.09,1.3,1.5 ,570 ,5.8  ,0.2 ,15   ,      
 ,D,Janmaat         ,WAT ,D,0.1  ,0.04 ,2.5,2.2 ,499 ,4.8  ,0.3 ,14   ,      
 ,W,Reid            ,WHU ,D,0.13 ,0.13 ,2.6,2.6 ,1246,4.8  ,0.7 ,14   ,      
 ,K,Gibbs           ,WBA ,D,0.06 ,0.1  ,2.3,2.5 ,1359,5.0  ,0.4 ,12   ,      
 ,K,Wimmer          ,STK ,D,-0.21,-0.14,1.1,1.4 ,1012,4.2  ,0.3 ,11   ,      
 ,P,Obiang          ,WHU ,M,0.09 ,0.2  ,2.4,2.9 ,1190,4.4  ,1.1 ,11   ,      
 ,A,Iwobi           ,ARS ,M,0.2  ,0.27 ,3.0,3.4 ,691 ,5.1  ,0.6 ,10   ,      
 ,J,Gudmundsson     ,BUR ,M,0.16 ,0.22 ,2.8,3.1 ,1339,5.0  ,0.4 ,9    ,      
 ,A,Lennon          ,EVE ,M,0.07 ,0.19 ,2.4,3.0 ,608 ,5.4  ,0.1 ,9    ,      
 ,G,Bong            ,BHA ,D,0.16 ,0.16 ,2.7,2.7 ,810 ,4.4  ,0.1 ,8    ,      
x,J,Lascelles       ,NEW ,D,0.33 ,0.33 ,3.5,3.5 ,1217,4.6  ,5.3 ,7    ,      
 ,J,Stephens        ,SOU ,D,0.09 ,0.16 ,2.4,2.7 ,720 ,4.5  ,0.2 ,4    ,      
 ,S,Prödl           ,WAT ,D,0.02 ,0.09 ,2.1,2.4 ,635 ,4.3  ,0.2 ,4    ,      
 ,J,Holebas         ,WAT ,D,0.06 ,0.1  ,2.3,2.5 ,1211,4.9  ,0.5 ,4    ,      
 ,H,Robson-Kanu     ,WBA ,F,-0.04,0.06 ,1.8,2.3 ,647 ,4.9  ,0.5 ,4    ,      
 ,T,Smith           ,HUD ,D,0.08 ,0.08 ,2.4,2.4 ,1239,4.8  ,0.3 ,3    ,      
 ,M,Diamé           ,NEW ,M,-0.04,0.22 ,1.8,3.0 ,473 ,4.6  ,0.1 ,3    ,      
 ,D,Welbeck         ,ARS ,F,0.11 ,0.38 ,2.8,4.8 ,584 ,7.3  ,0.8 ,2    ,      
 ,A,Surman          ,BOU ,M,0.4  ,0.4  ,3.9,3.9 ,1530,4.8  ,8.9 ,2    ,      
 ,M,Schneiderlin    ,EVE ,M,-0.09,-0.02,1.6,1.9 ,1046,4.7  ,0.5 ,2    ,      
 ,R,Pereyra         ,WAT ,M,-0.03,0.17 ,1.8,3.0 ,574 ,5.8  ,0.1 ,2    ,      
 ,D,Pröpper         ,BHA ,M,0.11 ,0.13 ,2.6,2.7 ,1716,5.3  ,0.1 ,2    ,      
 ,M,Lemina          ,SOU ,M,0.0  ,0.06 ,2.0,2.3 ,1005,4.9  ,0.1 ,2    ,      
 ,J,McClean         ,WBA ,M,-0.15,0.17 ,1.3,2.8 ,587 ,4.8  ,0.1 ,1    ,      
 ,W,Hoedt           ,SOU ,D,0.04 ,0.08 ,2.2,2.4 ,990 ,5.0  ,0.0 ,1    ,      
 ,V,Iborra          ,LEI ,M,0.12 ,0.14 ,2.7,2.8 ,964 ,5.8  ,0.1 ,0    ,      
 ,C,Kouyaté         ,WHU ,M,0.12 ,0.24 ,2.6,3.2 ,1102,5.0  ,0.3 ,0    ,      
 ,S,Clucas          ,SWA ,M,0.04 ,0.17 ,2.2,2.8 ,753 ,4.8  ,0.0 ,0    ,      
 ,A,Carrillo        ,WAT ,M,0.0  ,0.09 ,2.0,2.5 ,985 ,5.5  ,0.0 ,0    ,      
 ,A,Barnes          ,BUR ,F,-0.06,0.12 ,1.7,2.6 ,651 ,5.2  ,0.5 ,-1   ,      
 ,R,van La Parra    ,HUD ,M,-0.04,0.04 ,1.8,2.2 ,879 ,4.8  ,0.1 ,-1   ,      
 ,G,Cameron         ,STK ,D,-0.07,-0.02,1.7,1.9 ,854 ,4.3  ,0.3 ,-1   ,      
 ,J,Livermore       ,WBA ,M,0.04 ,0.08 ,2.2,2.4 ,1513,4.9  ,0.1 ,-1   ,      
 ,E,Mangala         ,MCI ,D,0.0  ,0.16 ,2.0,2.8 ,380 ,5.0  ,0.2 ,-1   ,      
 ,D,Gosling         ,BOU ,M,-0.1 ,-0.04,1.5,1.8 ,539 ,4.8  ,0.1 ,-2   ,      
 ,G,Barry           ,WBA ,M,0.09 ,0.09 ,2.4,2.4 ,1263,4.5  ,1.0 ,-2   ,      
 ,D,Williams        ,HUD ,M,-0.14,-0.02,1.3,1.9 ,816 ,4.9  ,0.0 ,-2   ,      
~,~,~~~~~~~~        ,~~~~,~,~~~~ ,~~~~~,~~~,~~~~,~~~ ,~~~~~,~   ,-2.58,~~~~~~
 ,M,Pugh            ,BOU ,M,-0.04,0.06 ,1.8,2.3 ,719 ,4.7  ,0.1 ,-3   ,      
 ,T,Davies          ,EVE ,M,-0.1 ,-0.04,1.5,1.8 ,862 ,5.2  ,0.4 ,-3   ,      
 ,N,Dyer            ,SWA ,M,-0.09,-0.05,1.6,1.8 ,527 ,4.4  ,0.1 ,-3   ,      
