W,I,web_name        ,team,T,VA/M ,VA/ML,p/g ,p/gl,form,min,price,%   ,txn   ,gf ,081112
 ,P,Souaré          ,CRY ,D,-0.22,-0.44,1.0 ,0.0 ,1.0 ,1  ,4.5  ,0.1 ,-33   ,-1 ,      
 ,S,Okaka           ,WAT ,F,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.0 ,-33   ,0.0,      
 ,M,Doherty         ,WOL ,D,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,1.3 ,-33   ,0  ,      
 ,R,Oxford          ,WHU ,D,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.2 ,-35   ,0  ,      
 ,F,Lejeune         ,NEW ,D,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.0 ,-36   ,0.0,      
 ,J,Ruddy           ,WOL ,G,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.5 ,-36   ,0  ,      
 ,D,Klaassen        ,EVE ,M,-0.33,-0.33,0.0 ,0.0 ,0.0 ,0  ,6.0  ,0.0 ,-37   ,0.0,      
 ,D,Solanke         ,LIV ,F,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.4 ,-37   ,0  ,      
 ,S,Byram           ,WHU ,D,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.1 ,-37   ,-1 ,      
 ,E,Jakupovic       ,LEI ,G,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.2 ,-38   ,0  ,      
 ,M,Lemina          ,SOU ,M,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.2 ,-38   ,0  ,      
 ,A,McCarthy        ,SOU ,G,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.7 ,-39   ,0  ,      
 ,M,Gibbs-White     ,WOL ,M,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.5 ,-39   ,0  ,      
 ,V,Guaita          ,CRY ,G,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.3 ,-40   ,0  ,      
 ,T,Ince            ,HUD ,M,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.0 ,-40   ,0.0,      
 ,M,Noble           ,WHU ,M,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.5 ,-41   ,0  ,      
 ,M,Lowton          ,BUR ,D,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,1.0 ,-42   ,0  ,      
 ,J,Ralls           ,CAR ,M,0.0  ,-0.4 ,2.0 ,0.0 ,2.0 ,90 ,5.0  ,0.4 ,-43   ,0  ,      
 ,M,Britos          ,WAT ,D,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.1 ,-43   ,-1 ,      
 ,J,Murphy          ,CAR ,M,-0.2 ,-0.4 ,1.0 ,0.0 ,1.0 ,27 ,5.0  ,0.3 ,-44   ,0  ,      
 ,J,Ward            ,CRY ,D,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.5 ,-44   ,0  ,      
 ,G,Murray          ,BHA ,F,0.0  ,-0.31,2.0 ,0.0 ,2.0 ,90 ,6.5  ,0.8 ,-45   ,0  ,      
 ,W,Caballero       ,CHE ,G,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.2 ,-45   ,0  ,      
 ,V,Iborra          ,LEI ,M,-0.2 ,-0.4 ,1.0 ,0.0 ,1.0 ,10 ,5.0  ,0.1 ,-45   ,-1 ,      
 ,M,Zeegelaar       ,WAT ,D,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.1 ,-45   ,-1 ,      
 ,T,Heaton          ,BUR ,G,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.1 ,-46   ,-1 ,      
 ,J,Vestergaard     ,SOU ,D,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.6 ,-46   ,0  ,      
 ,S,Kaikai          ,CRY ,M,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.2 ,-47   ,0  ,      
 ,I,Cavaleiro       ,WOL ,M,-0.36,-0.36,0.0 ,0.0 ,0.0 ,0  ,5.5  ,0.2 ,-48   ,-1 ,      
 ,C,Söyüncü         ,LEI ,D,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.1 ,-49   ,-1 ,      
