O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,gf ,031217
 ,J,Pickford        ,EVE ,G,0.35 ,0.33 ,3.7,3.6 ,4.3 ,2700,4.9  ,8.3 ,4829   ,1  ,      
 ,C,Daniels         ,BOU ,D,0.15 ,0.19 ,2.7,2.9 ,0.8 ,2298,4.7  ,7.8 ,4822   ,1  ,      
 ,L,Sané            ,MCI ,M,0.4  ,0.49 ,5.4,6.2 ,5.7 ,1768,8.6  ,12.9,4511   ,1  ,      
 ,C,Smalling        ,MUN ,D,0.33 ,0.37 ,3.8,4.0 ,3.3 ,1905,5.4  ,4.4 ,4304   ,2  ,      
 ,J,King            ,BOU ,F,0.13 ,0.19 ,2.9,3.3 ,3.0 ,1801,7.0  ,1.6 ,4109   ,4  ,      
 ,T,Alexander-Arnold,LIV ,D,0.51 ,0.56 ,4.2,4.4 ,4.5 ,1148,4.3  ,3.9 ,3985   ,2  ,      
 ,M,Lowton          ,BUR ,D,0.48 ,0.45 ,4.1,4.0 ,5.0 ,1575,4.4  ,3.1 ,3925   ,2  ,      
 ,S,Aurier          ,TOT ,D,0.49 ,0.44 ,4.9,4.6 ,8.7 ,1247,5.9  ,0.6 ,3826   ,11 ,      
 ,W,Hennessey       ,CRY ,G,0.33 ,0.33 ,3.4,3.4 ,2.7 ,1710,4.3  ,2.1 ,3615   ,3  ,      
 ,J,Tarkowski       ,BUR ,D,0.36 ,0.31 ,3.6,3.4 ,3.0 ,2070,4.5  ,2.8 ,3520   ,2  ,      
 ,D,David Silva     ,MCI ,M,0.44 ,0.49 ,5.5,5.9 ,7.7 ,1956,8.0  ,8.9 ,3152   ,1  ,      
 ,A,Townsend        ,CRY ,M,0.23 ,0.25 ,3.3,3.4 ,3.7 ,2414,5.6  ,1.3 ,3097   ,4  ,      
 ,K,Walker          ,MCI ,D,0.35 ,0.39 ,4.3,4.6 ,5.7 ,2410,6.6  ,12.7,2767   ,0  ,      
 ,S,Ward            ,BUR ,D,0.49 ,0.51 ,4.3,4.4 ,3.3 ,1740,4.7  ,7.1 ,2746   ,1  ,      
 ,R,van La Parra    ,HUD ,M,0.08 ,0.17 ,2.4,2.8 ,5.5 ,1718,4.8  ,1.0 ,2729   ,5  ,      
 ,M,van der Hoorn   ,SWA ,D,0.41 ,0.48 ,3.8,4.1 ,5.7 ,1468,4.4  ,1.0 ,2617   ,4  ,      
 ,L,Milivojevic     ,CRY ,M,0.29 ,0.35 ,3.4,3.7 ,2.0 ,2359,4.9  ,7.3 ,2512   ,1  ,      
 ,K,Zouma           ,STK ,D,0.13 ,0.15 ,2.7,2.8 ,3.3 ,2361,5.4  ,2.4 ,2449   ,2  ,      
 ,J,Butland         ,STK ,G,0.3  ,0.32 ,3.5,3.6 ,6.0 ,2386,5.0  ,2.7 ,2376   ,2  ,      
